Guardia;Hernandez;2
Guardia;Rodolfo;4
Guardia;Victor Gerardo Garay Cadena;4
Guardia;Ricardo Gutierrez Vargas;4
Guardia;Beltran Leyva;2
Guardia;Mexico;3
Guardia;Ramirez Mandujano;4
Guardia;Barcenas;3
Guardia;Pedro Gonzalez Franco;1
Guardia;Pedro Barcenas;1
Guardia;Venancio Bustos Espinoza;1
Guardia;Francisco Tornez Castro;3
Guardia;Arturo;2
Rivas Espinosa;Roberto Guajardo Rosas;4
Rivas Espinosa;Angel Jimenez Garcia;2
Rivas Espinosa;Sabre;4
Rivas Espinosa;Amado Carrillo;1
Rivas Espinosa;Culiacan;2
Rivas Espinosa;Cuando;4
Rivas Espinosa;Jesus Gutierrez Rebollo;1
Rivas Espinosa;Estrella;2
Rivas Espinosa;Jose Gilberto Ramirez Camacho;4
Rivas Espinosa;Morelos;2
Rivas Espinosa;Hidalgo;2
Alberto Cortina Herrera;Victor Gerardo Garay Cadena;2
Alberto Cortina Herrera;Gaviota Fino;1
Alberto Cortina Herrera;Beltran Leyva;1
Alberto Cortina Herrera;Bayardo;1
Alberto Cortina Herrera;Valle;1
Alberto Cortina Herrera;Solis Galicia;4
Alberto Cortina Herrera;Teodoro;1
Alberto Cortina Herrera;Durante;3
Alberto Cortina Herrera;Jesus Perez Chavez;4
Alberto Cortina Herrera;Beltran;2
Alberto Cortina Herrera;Francisco;4
Alberto Cortina Herrera;Sinaloa;3
Alberto Cortina Herrera;Norte;1
Alberto Cortina Herrera;Calleja;4
Alberto Cortina Herrera;Pedro Sergio Jonguitud Barragan;4
Alberto Cortina Herrera;Ramiro Lopez Cornejo;4
Alberto Cortina Herrera;Ricardo Ramirez Leon;4
Alberto Cortina Herrera;Zambada;3
Eliseo Barron Hernandez;Guerrero;3
Eliseo Barron Hernandez;Juan Daniel Martinez Ortiz;3
Eliseo Barron Hernandez;Quintana;2
Eliseo Barron Hernandez;Sinaloa;2
Eliseo Barron Hernandez;Norberto Miranda Madrid;2
Eliseo Barron Hernandez;Jose Emilio Galindo;2
Eliseo Barron Hernandez;Jalisco;2
Eliseo Barron Hernandez;Carlos Ortega Melo Samper;4
Eliseo Barron Hernandez;Luis Daniel Mendez;2
Eliseo Barron Hernandez;Jose Luis Romero;2
Eliseo Barron Hernandez;Jose Bladimir Antuna Garcia;4
Eliseo Barron Hernandez;Veracruz;2
Eliseo Barron Hernandez;Jean Paul Ibarra Ramirez;3
Eliseo Barron Hernandez;Martin Javier Miranda;2
Eliseo Barron Hernandez;Jose Alberto Velazquez;2
Eliseo Barron Hernandez;Chihuahua;2
Geronimo Armando;Martinez Garcia;1
Geronimo Armando;Lopez Sanchez;4
Geronimo Armando;Carlos Emilio;1
Geronimo Armando;Lona Romero;2
Geronimo Armando;Linares;1
Geronimo Armando;Julio Alejandro;3
Geronimo Armando;Lopez Velasco;3
Geronimo Armando;Anda;1
Geronimo Armando;Alicia;1
Geronimo Armando;Edgar;2
Geronimo Armando;Marin;2
Geronimo Armando;Lopez Diaz;3
Geronimo Armando;Leopoldo;2
Luis Carlos Carrillo Cano;Carrillo;1
Luis Carlos Carrillo Cano;Mauro Enrique Tello;1
Luis Carlos Carrillo Cano;Vicente Carrillo Fuentes;3
Luis Carlos Carrillo Cano;Amado;3
Luis Carlos Carrillo Cano;Beltran;1
Luis Carlos Carrillo Cano;Carrillo Cano;3
Luis Carlos Carrillo Cano;Ricardo;4
Luis Carlos Carrillo Cano;Chapo;1
Luis Carlos Carrillo Cano;Güero;1
Luis Carlos Carrillo Cano;Catedral;2
Luis Carlos Carrillo Cano;Pablo Escobar;2
Luis Carlos Carrillo Cano;Alfredo;4
Ernesto Zedillo Ponce;Amezcua Contreras;1
Ernesto Zedillo Ponce;Nuevo Mexico;3
Ernesto Zedillo Ponce;Mexico;2
Ernesto Zedillo Ponce;Chapo;4
Ernesto Zedillo Ponce;Zedillo;1
Ernesto Zedillo Ponce;Leon;4
Ernesto Zedillo Ponce;Colosio;4
Ernesto Zedillo Ponce;Cali;4
Ernesto Zedillo Ponce;Jesus Gutierrez Rebollo;1
Ernesto Zedillo Ponce;Luis;4
Ernesto Zedillo Ponce;Colima;1
Ernesto Zedillo Ponce;Miguel Rodriguez Orejuela;2
Rafael Ibarra Consejo;Felipe Calderon;1
Rafael Ibarra Consejo;Eduardo Medina Mora;4
Arturo Chavez Chavez;Jesus Zambada;2
Arturo Chavez Chavez;Victor Gerardo Garay Cadena;2
Arturo Chavez Chavez;Chapo;3
Arturo Chavez Chavez;Sinaloa;3
Arturo Chavez Chavez;Bayardo;2
Arturo Chavez Chavez;Alfredo Jimenez Mota;2
Arturo Chavez Chavez;Tlalpan;2
Arturo Chavez Chavez;Medina Mora;3
Arturo Chavez Chavez;Najera;2
Arturo Chavez Chavez;Eduardo Medina Mora;4
Arturo Chavez Chavez;Santa Ursula Xitla;2
Arturo Chavez Chavez;Partido;1
Arturo Chavez Chavez;Jimenez Mota;2
Arturo Chavez Chavez;Barbas Beltran Leyva;3
Arturo Chavez Chavez;Ramirez Mandujano;1
Arturo Chavez Chavez;Señor;2
Arturo Chavez Chavez;Reynaldo;1
Arturo Chavez Chavez;Chavez Chavez;2
Arturo Chavez Chavez;Zambada;1
Arturo Chavez Chavez;Mario Lopez Valdez;3
Arturo Chavez Chavez;Cielos;2
Arturo Chavez Chavez;General;4
Arturo Chavez Chavez;Saul Garcia Gaxiola;2
Arturo Chavez Chavez;Lopez Valdez;3
Arturo Chavez Chavez;Tiendas;4
Arturo Chavez Chavez;Jesus Vizcarra Calderon;3
Catalina Castro Lopez;Ramon Ayala;1
Catalina Castro Lopez;Linares;1
Catalina Castro Lopez;Norte;1
Catalina Castro Lopez;Barbie;1
Catalina Castro Lopez;Edgar Valdez Villarreal;1
Catalina Castro Lopez;Arturo Beltran;1
Catalina Castro Lopez;Gabriela Vega Perez;4
Buenos;Ricardo Martinez;2
Buenos;Cristina Fernandez;3
Buenos;Jesus Martinez Espinoza;3
Buenos;Beltran Leyva;1
Buenos;Marcos;4
Buenos;General Rodriguez;4
Buenos;Victor Gabriel;2
Buenos;Sinaloa;1
Buenos;Igual;3
Buenos;Daniel;4
Buenos;Buenos;1
Buenos;Marco Aurelio Lailson Rizo;1
Buenos;Argentina;1
Buenos;Adrian Gonzalez;3
Buenos;Mariano Martinez;1
Buenos;Naranjo;4
Buenos;Fierro;3
Buenos;Israel;1
Buenos;Francisco;4
Buenos;Europa;1
Buenos;Leopoldo;4
Buenos;Cristian Daniel;2
Buenos;Arturo Beltran;3
Buenos;Damian Ferron;4
Buenos;Martinez Espinoza;2
Buenos;Ferron;3
Buenos;Soriano;3
Buenos;Manuel Davidovich;2
Buenos;Juan Jesus Preciado Espinoza;1
Buenos;Arturo Beltran Leyva;4
Buenos;Valle;1
Buenos;Puebla;2
Buenos;Marcelo;2
Buenos;Beltran;1
Buenos;Luis Marcelo;1
Buenos;Juan Jesus Martinez Espinoza;1
Buenos;Martin;1
Buenos;Sebastian;4
Buenos;Carmen;3
Buenos;Preciado Soltero;1
Buenos;Carlos;4
Buenos;Cristian;1
Buenos;Campeche;3
Buenos;Mexico;1
Buenos;Ingeniero;3
Buenos;Kirchner;3
Buenos;Martinez;4
Buenos;Norte;1
Xoxocotla;Costa Chica;2
Xoxocotla;Tiempo;4
Xoxocotla;Guerrero;4
Xoxocotla;Beltran Leyva;2
Xoxocotla;Edgar Valdes Villarreal;3
Xoxocotla;Barbie;3
Xoxocotla;Sinaloa;2
Xoxocotla;Matamoros;3
Xoxocotla;Beltran;3
Xoxocotla;Reynosa;3
Xoxocotla;Morelos;4
Xoxocotla;Nuevo Laredo;3
Tlalpan;Jesus Zambada;4
Tlalpan;Victor Gerardo Garay Cadena;1
Tlalpan;Beltran Leyva;1
Tlalpan;Chapo;1
Tlalpan;Bayardo;4
