Felipe Cobian;Felipe Cobian;1
Felipe Cobian;Arellano;2
Felipe Cobian;Francisco Lopez Vargas;2
Felipe Cobian;Chapo;2
Felipe Cobian;Posadas Ocampo;1
Felipe Cobian;Carlos Acosta;1
Felipe Cobian;Juan Jesus Posadas Ocampo;3
Felipe Cobian;Joaquin;2
Felipe Cobian;General;1
Felipe Cobian;Puerto Vallarta;2
Felipe Cobian;Benjamin;1
Felipe Cobian;Francisco;1
Felipe Cobian;Arellano Felix;2
Felipe Cobian;Ramon;1
Felipe Cobian;Jorge Tello Peon;1
Felipe Cobian;Jalisco;2
Felipe Cobian;Sinaloa;1
Felipe Cobian;Puente Grande;3
Felipe Cobian;Alberto Aguirre;3
Felipe Cobian;Joaquin Guzman;2
Felipe Cobian;Guzman;2
Felipe Cobian;Ricardo Ravelo;2
Felipe Cobian;Miguel Hidalgo;1
Felipe Cobian;Javier Arellano Felix;1
Felipe Cobian;Guadalajara;2
Felipe Cobian;Chapo Guzman;2
Duelos;Patricia Davila;2
Duelos;Sinaloa;1
Duelos;Joaquin;1
Duelos;Guerrero;1
Duelos;Diaz;2
Duelos;Gloria;2
Duelos;Julio Carlos Lopez Soto;1
Duelos;Antonio Ezequiel Cardenas Guillen;1
Duelos;Guerras;4
Duelos;Chapo Guzman;1
Enrique Perez;Julio;1
Enrique Perez;Guadalupe Morfin;1
Enrique Perez;Alejandro;2
Enrique Perez;Rafael Dorantes;4
Enrique Perez;Manero;2
Enrique Perez;Guadalajara;2
Enrique Perez;Garcia;1
Enrique Perez;Leonardo Beltran Santana;4
Enrique Perez;Jose Antonio Bernal Guerrero;1
Enrique Perez;Jose Luis Soberanes;3
Enrique Perez;Soberanes;1
Enrique Perez;Morfin Otero;3
Enrique Perez;Puente Grande;4
Enrique Perez;Leonardo Beltran;4
Enrique Perez;Joel Garcia;2
Enrique Perez;Maxima;1
David Cervantes;Villa;4
David Cervantes;Cortes;4
Patricia Gonzalez Rodriguez;Patricia Davila;3
Patricia Gonzalez Rodriguez;Viceroy;1
Patricia Gonzalez Rodriguez;Juarez;4
Patricia Gonzalez Rodriguez;Chapo;1
Patricia Gonzalez Rodriguez;Sinaloa;4
Patricia Gonzalez Rodriguez;Chihuahua;4
Gilberto Garcia Mena;Torreblanca;2
Gilberto Garcia Mena;Lopez Soto;1
Gilberto Garcia Mena;Juan Jose Esparragoza;1
Gilberto Garcia Mena;Agustin Montiel;1
Gilberto Garcia Mena;June;4
Gilberto Garcia Mena;Garcia Laguna;3
Gilberto Garcia Mena;Ruben Figueroa Alcocer;1
Gilberto Garcia Mena;Azul;1
Gilberto Garcia Mena;Fernando Navarrete Magdalena;2
Gilberto Garcia Mena;Morelos;1
Gilberto Garcia Mena;Hilario Serrano;4
Gilberto Garcia Mena;Mario Arturo Acosta Chaparro;2
Victor Manuel Mena Solis;Camarena;2
Victor Manuel Mena Solis;Puma;3
Victor Manuel Mena Solis;Chapo;3
Victor Manuel Mena Solis;Tinoco;4
Victor Manuel Mena Solis;Ramon Torres Mendez;3
Victor Manuel Mena Solis;Joaquin;1
Victor Manuel Mena Solis;Castillo;2
Victor Manuel Mena Solis;Archivaldo;1
Victor Manuel Mena Solis;Posadas;3
Victor Manuel Mena Solis;Velasco;1
Victor Manuel Mena Solis;Miguel Angel Felix Gallardo;1
Victor Manuel Mena Solis;Juan Enrique Vascones Hernandez;3
Victor Manuel Mena Solis;Spunky;3
Victor Manuel Mena Solis;Garcia Davila;1
Victor Manuel Mena Solis;Flavio Romero;1
Victor Manuel Mena Solis;Bartolo Pineda Medrano;4
Victor Manuel Mena Solis;Joaquin Guzman Loera;4
Victor Manuel Mena Solis;Alfredo Araujo;3
Victor Manuel Mena Solis;Garcia;3
Victor Manuel Mena Solis;Chapo Guzman;3
Victor Manuel Mena Solis;Alejandrina;1
Victor Manuel Mena Solis;Güero Palma;3
Victor Manuel Mena Solis;Jesus Alfredo;1
Victor Manuel Mena Solis;Francisco Cardenas Luque;4
Victor Manuel Mena Solis;Juan Antonio Garcia Torres;2
Victor Manuel Mena Solis;Enrique Alvarez;2
Victor Manuel Mena Solis;Morelos;4
Victor Manuel Mena Solis;Arellano Felix;3
Guardia;Joaquin Guzman Loera;1
Guardia;Gonzalo Figueroa;1
Guardia;Angel;1
Guardia;Mexico;1
Guardia;Hacienda;4
Guardia;Leonel Diaz;4
Guardia;Guatemala;1
Guardia;Chapo Guzman;3
Fernando Navarrete Magdalena;Tafoya;1
Fernando Navarrete Magdalena;Torreblanca;4
Fernando Navarrete Magdalena;Cima;1
Fernando Navarrete Magdalena;Barbie;2
Fernando Navarrete Magdalena;Juan Jose Esparragoza;3
Fernando Navarrete Magdalena;Agustin Montiel;3
Fernando Navarrete Magdalena;June;2
Fernando Navarrete Magdalena;Garcia Laguna;3
Fernando Navarrete Magdalena;Ruben Figueroa Alcocer;3
Fernando Navarrete Magdalena;Azul;3
Fernando Navarrete Magdalena;Chapo Guzman;2
Fernando Navarrete Magdalena;Julio Carlos Lopez Soto;1
Fernando Navarrete Magdalena;Jose Alberto Gomez Tafoya;1
Fernando Navarrete Magdalena;Lopez Soto;2
Fernando Navarrete Magdalena;Morelos;3
