Año,Fecha,Latitud,Longitud,Título de la Noticia,Muertos,URL
2015, 12 de Octubre    ,25.617672,-100.259318, Persiguen y ejecutan a hombre ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=666369
2015, 2 de Octubre    ,25.6320746,-100.2860881, Ejecutan a uno en plaza en Garza Sada ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=658076&v=4
2015, 1 de Octubre    ,25.675784,-100.475788, Lo ejecutan frente a su casa ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=657523&v=2
2015, 24 de Septiembre ,25.657586,-100.322029, Lo esperan para ejecutarlo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=651347&v=2
2015, 24 de Septiembre ,25.683207,-100.30565, Matan a 2 clientes en ataque 13 a bar ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=651338&v=3
2015, 23 de Septiembre ,25.777561,-100.410404, Asesinan a ex reo de tres balazos ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=649810
2015, 18 de Septiembre ,25.702387,-100.3308447, Ejecutan a uno en la Col. Garza Nieto ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=645906
2015, 5 de Septiembre ,25.5847733,-100.2354798, Ejecutan a joven tras persecuci&#243;n ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=635053
2015, 5 de Septiembre ,25.6913472,-100.2803447, Lo acribillan desde un veh&#237;culo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=635075
2015, 7 de Septiembre ,25.801002,-100.053654, Torturan y ejecutan a dos en Pesquer&#237;a ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=636488&v=3
2015, 29 de Septiembre ,25.8027,-100.604299, Torturan ejecutan y lo tiran de taxi ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=656290
2015, 4 de Septiembre ,25.790622,-100.422774, Hallan a ejecutado en brecha de Garc&#237;a ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=634445&v=4
2015, 4 de Septiembre ,25.827252,-100.634067, Indagan muerte de un hombre ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=634291&v=2
2015, 9 de Septiembre ,25.547818,-100.008008, Ejecutan a trailero en Cadereyta ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=637938
2015, 14 de Agosto     ,25.616893,-100.141144, Muere taxista baleado en hospital ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617290&v=2
2015, 28 de Agosto     ,25.734617,-100.345805, Le cierran el paso y lo acribillan ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=628797
2015, 25 de Agosto     ,25.708184,-100.269445, Acribillan a pareja y a su hijo ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=625821&v=4
2015, 24 de Agosto     ,25.687205,-100.323272, Muere quemado; ten&#237;a antecedentes ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=624302
2015, 21 de Agosto     ,25.705329,-100.281293, Abaten a ladr&#243;n de autos ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622164&v=6
2015, 21 de Agosto     ,25.787071,-100.381679, Hallan a asesinado en Ciudad Solidaridad  ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5
2015, 15 de Agosto     ,25.759746,-100.385995, Ejecutan a guardia de table ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617189&v=2
2015, 14 de Agosto     ,25.729691,-100.324588, Paseaba al perro cuando lo matan ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2
2015, 10 de Agosto     ,25.625582,-100.299418, Ejecutan a cliente de un restaurante ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=613196&v=3
2015, 5 de Agosto     ,25.690509,-100.319564, Ejecutan a menor a balazos ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=609440&v=2
2015, 14 de Agosto     ,25.655434,-100.21387, Dejan a ejecutado en camioneta robada ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617085&v=2
2015, 26 de Agosto     ,25.760052,-100.236395, Hallan ejecutado a ladr&#243;n en Apodaca ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=626691&v=2
2015, 14 de Agosto     ,25.674498,-100.419792, Dan a tr&#225;nsito el tiro de gracia ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=617081&v=3
2015, 4 de Agosto     ,25.433437,-100.115214, Ejecutan a pap&#225; de comandante ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=608485&v=3
2015, 21 de Agosto     ,25.560929,-100.011484, Ejecutan a menor de 14 a&#241;os ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=622106&v=5
2015, 28 de Julio      ,25.656898,-100.32547, Ejecutan a un joven al tercer intento ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=602870&v=2
2015, 30 de Julio      ,25.783142,-100.31592, Lo ejecutan tras patearlo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=604821&v=2
2015, 15 de Junio      ,25.6869585,-100.2803447, Ejecutan a 2 en Pablo A. de la Garza ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=566762&v=2
2015, 1 de Junio      ,25.7815621,-100.1875974, Acribillan a tortillero en Apodaca ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=554084&v=2
2015, 5 de Junio      ,23.6773342,-100.1828301, Ocultan asesinatos de 2 decapitadas ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=557636&v=2
2015, 13 de Junio      ,25.6685405,-100.4615679, Lo asesinan desde una camioneta ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565231&v=2
2015, 12 de Junio      ,25.5858931,-100.0244665, Torturan y ejecutan a un joven ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=565153&v=2
2015, 10 de Junio      ,26.6597107,-99.9869346, Hallan 2 calcinados en Vallecillo ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=563133&v=2
2015, 15 de Junio      ,27.2411648,-100.1334335, Ejecutan a hombre en An&#225;huac ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=566723&v=2
2015, 13 de Mayo       ,25.2241799,-99.2800831, Moviliza cad&#225;ver embolsado en canchas ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=539468&v=2
2015, 7 de Mayo       ,25.6516471,-100.1059194, Encuentran en llamas a un ejecutado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=532834&v=2
2015, 4 de Mayo       ,25.6719416,-100.1402169, Encuentran a un ejecutado en Guadalupe ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=531152&v=2
2015, 11 de Mayo       ,25.8092806,-100.5899619, Hallan a hombre ejecutado en Garc&#237;a ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=537010&v=2
2015, 28 de Mayo       ,25.6685405,-100.4615679, Ejecutan a hombre en Santa Catarina ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=551897&v=2
2015, 27 de Mayo       ,25.6685405,-100.4615679, Lo matan a 3 d&#237;as de salir del Penal ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=550581&v=2
2015, 23 de Mayo       ,25.5858931,-100.0244665, Calientan Cadereyta balacera y ejecuci&#243;n ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=547580&v=2
2015, 1 de Mayo       ,25.5858931,-100.0244665, Hallan cad&#225;ver de soldador ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=529552&v=2
2015, 28 de Abril      ,25.636347,-100.12727, Hallan en 3 bolsas cuerpo descuartizado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=526902
2015, 20 de Abril      ,25.716156,-100.262039, Disparan desde taxi; matan a 1 ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519565&v=3
2015, 27 de Abril      ,25.656503,-100.324078, Fallece menor de 12 a&#241;os baleado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525847&v=2
2015, 26 de Abril      ,25.621569,-100.264578, Disparan contra j&#243;venes y ejecutan a uno ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525005&v=3
2015, 16 de Abril      ,25.765005,-100.381143, Cazan sicarios a dos j&#243;venes ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=516647&v=2
2015, 6 de Abril      ,25.739612,-100.349349, Acribillan sicarios a 3 en 6 horas ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3
2015, 6 de Abril      ,25.710545,-100.17261, Acribillan sicarios a 3 en 6 horas ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3
2015, 6 de Abril      ,25.762623,-100.157183, Acribillan sicarios a 3 en 6 horas ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=507680&v=3
2015, 15 de Abril      ,25.81997,-100.296179, Hallan en Escobedo a mujer momificada ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=515543&v=2
2015, 20 de Abril      ,25.926778,-100.36856, Ejecutan a plagiado tras cobrar rescate ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=519562&v=4
2015, 27 de Abril      ,25.680683,-100.437793, Muere en el HU mesero baleado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=525409
2015, 12 de Abril      ,25.679533,-100.419078, Dejan a decapitado dentro de un auto ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512587&v=3
2015, 11 de Abril      ,25.688608,-100.41676, Ejecutan a joven en Santa Catarina ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=512057&v=2
2015, 30 de Abril      ,25.599505,-99.994469, Matan en su casa a pastor cristiano ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=528977
2015, 29 de Abril      ,25.598917,-99.983257, Tiran en Cadereyta a mec&#225;nico ejecutado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=527873&v=2
2015, 10 de Marzo      ,25.633062,-100.097347, Tiran en lona a un ejecutado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484808&v=3
2015, 18 de Marzo      ,25.675571,-100.332562, Hallan a un ejecutado en cajuela de taxi ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=492292&v=5
2015, 14 de Marzo      ,25.6587204,-100.3175155, Levantan y ejecutan a m&#250;sico ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489021
2015, 7 de Marzo      ,25.6920483,-100.3322478, Acribillan a joven en la 10 de Marzo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=483294&v=2
2015, 19 de Marzo      ,25.806485,-100.091893, Aparece ejecutado joven en Pesquer&#237;a ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=493585
2015, 18 de Marzo      ,25.663708,-100.257257, Hallan cad&#225;ver enterrado en R&#237;o La Silla ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=491790&v=6
2015, 10 de Marzo      ,25.687303,-100.2340781, Lo asesinan desde un auto ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=484932&v=4
2015, 22 de Marzo      ,25.797334,-100.315398, Ejecutan a hombre en Escobedo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4
2015, 14 de Marzo      ,25.7802165,-100.3161126, Encuentran a hombre muerto en camioneta ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=489042&v=2
2015, 22 de Marzo      ,25.685174,-100.492707, Ejecutan a hombre en Escobedo ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=495600&v=4
2015, 14 de Marzo      ,25.6685405,-100.4615679, Hallan cuerpo semienterrado en patio ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=488993&v=2
2015, 7 de Marzo      ,25.6320746,-100.2860881, Ejecutan a mujer ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=482933&v=2
2015, 23 de Febrero    ,25.76364,-100.260895, Lo rafaguean frente a su casa y muere ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=473700&v=2
2015, 23 de Febrero    ,25.63005,-100.30644, Va racha al alza; ahora matan a 3 ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863
2015, 21 de Febrero    ,25.6980518,-100.3251964, Ejecutan otra vez en Bar Matehuala ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470927&v=5
2015, 21 de Febrero    ,25.6768776,-100.2900361, Esconden hallazgo de decapitado ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470989
2015, 20 de Febrero    ,25.7580391,-100.426662, Ejecutan a hombre en su domicilio  ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=470583
2015, 2 de Febrero    ,25.72391,-100.345313, Matan a cabecilla de c&#233;lula del crimen ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=455004&v=2
2015, 5 de Febrero    ,25.645606,-100.162853, Desaparece alumna y la hallan ejecutada ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458074&v=6
2015, 23 de Febrero    ,25.806083,-100.394708, Va racha al alza; ahora matan a 3 ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863
2015, 6 de Febrero    ,25.799739,-100.617731, Hallan a enterrado en cerro ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=458927&v=2
2015, 23 de Febrero    ,25.702642,-100.456284, Va racha al alza; ahora matan a 3 ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472863
2015, 22 de Febrero    ,25.674072,-100.430211, Tiran a ejecutado en Santa Catarina ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=472014&v=2
2015, 19 de Febrero    ,25.585239,-99.9985729, Tras ejecuci&#243;n cae cabecilla ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=469597
2015, 18 de Febrero    ,27.2411648,-100.1334335, Hallan 3 cuerpos en An&#225;huac ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=468001&v=11
2015, 30 de Enero      ,25.664161,-100.138452, Le cobran $500 luego lo acribillan,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=452993&v=4
2015, 6 de Enero      ,25.72135771,-100.3533216, Hallan cuerpo calcinado en Col. Del Maestro ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=432808&v=4
2015, 4 de Enero      ,25.663949,-100.291416, Balea a pap&#225; e hijos y causa muerte de 1 ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431973
2015, 4 de Enero      ,25.788145,-100.380235, Ejecutan a conductor pistoleros en taxi ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=431978
2015, 27 de Enero      ,25.76254,-100.166208, Acribillan a joven afuera de su casa ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450230&v=6
2015, 30 de Enero      ,25.804559,-100.278128, Ejecutan a 3 en minis&#250;per ,3, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453268&v=2
2015, 9 de Enero      ,24.880308,-99.552301, Ejecutan a joven en taller ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=435856&v=4
2015, 31 de Enero      ,25.677255,-100.412627, Ejecutan a joven en Santa Catarina ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=453769&v=4
2015, 25 de Enero      ,25.702108,-100.458968, Los matan enfrente de su casa ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=448365&v=2
2015, 20 de Enero      ,25.694891,-100.497941, Carga a su hija y lo ejecutan ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=444500&v=3
2015, 11 de Enero      ,25.659153,-100.434544, Matan sicarios a 2 en Santa Catarina ,2, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=437198&v=4
2015, 27 de Enero      ,25.603208,-100.077843, Lo ejecutan c&#243;mplices por fallar como halc&#243;n ,1, http://www.elnorte.com/aplicaciones/articulo/default.aspx?id=450071&v=3
