Año,Día,Localidad,Latitud,Longitud,Título,Muertos,Heridos,Detenidos,Liberados,Decomisos
2012, 31 de Diciembre  , Monterrey ,25.739088,-100.336238, Ejecutan a 2 en Tierra y Libertad ,0,0,0,0,0
2012, 30 de Diciembre  , Monterrey ,25.686129,-100.315918, Fallece en hospital un joven baleado ,0,0,0,0,0
2012, 29 de Diciembre  , Monterrey ,25.643335,-100.307236, Lo ejecutan en XV años ,0,0,0,0,0
2012, 29 de Diciembre  , Monterrey ,25.686129,-100.315918, Asesinan a taquero en Colon ,0,0,0,0,0
2012, 28 de Diciembre  , Monterrey ,25.710885,-100.266563, Acribillan a hombre en su casa ,0,0,0,0,0
2012, 28 de Diciembre  , Monterrey ,25.689182,-100.350795, Fallece bebe; de inocente asesinada ,0,0,0,0,0
2012, 26 de Diciembre  , Monterrey ,25.736499,-100.328887, Es la Topo Chico una zona de terror ,0,0,0,0,0
2012, 26 de Diciembre  , Monterrey ,25.736615,-100.329874, Fallece en hospital un baleado ,0,0,0,0,0
2012, 22 de Diciembre  , Monterrey ,25.725897,-100.326966, Ejecutan a joven en una bicicleta ,0,0,0,0,0
2012, 22 de Diciembre  , Monterrey ,25.687925,-100.312836, Fallece otra mujer por ataque ,0,0,0,0,0
2012, 21 de Diciembre  , Monterrey ,25.750038,25.750038, Fallecen otros dos jovenes acribillados  ,0,0,0,0,0
2012, 20 de Diciembre  , Monterrey ,25.750038,-100.344315, Matan pistoleros a 7 en 14 horas ,0,0,0,0,0
2012, 20 de Diciembre  , Monterrey ,25.687925,-100.312836, Matan pistoleros a 7 en 14 horas ,0,0,0,0,0
2012, 16 de Diciembre  , Monterrey ,25.777767,-100.370844, Persiguen y asesinan a taxista ,0,0,0,0,0
2012, 14 de Diciembre  , Monterrey ,25.67638,-100.316269, Lo asesinan en baño de bar del Centro ,0,0,0,0,0
2012, 14 de Diciembre  , Monterrey ,25.684928,-100.306635,  Ejecutan a hombre en estacion del Metro  ,0,0,0,0,0
2012, 14 de Diciembre  , Monterrey ,25.740162,-100.330474, Matan a 2 dentro de negocio ,0,0,0,0,0
2012, 11 de Diciembre  , Monterrey ,25.75458,-100.3519, Matan a 2 y hieren a otro en zona norte ,0,0,0,0,0
2012, 8 de Diciembre  , Monterrey ,25.725336,-100.344357, Asesina en Penal ligado al Royale ,0,0,0,0,0
2012, 6 de Diciembre  , Monterrey ,25.757885,-100.357082, Ejecutan a 2 desde auto en zona norte ,0,0,0,0,0
2012, 3 de Diciembre  , Monterrey ,25.66143,-100.330845, Plagian y matan a dos mujeres ,0,0,0,0,0
2012, 1 de Diciembre  , Monterrey ,25.736634,-100.329863, Y asesinan a otros 3 en Col. Topo Chico ,0,0,0,0,0
2012, 30 de Noviembre  , Monterrey ,25.636332,-100.287699, Lo matan de 2 balazos en la cabeza ,0,0,0,0,0
2012, 20 de Noviembre  , Monterrey ,25.755176,-100.359614, Lo ejecutan en camioneta ,0,0,0,0,0
2012, 17 de Noviembre  , Monterrey ,25.707666,-100.329595, Matan a inocente y hieren a otros 4 ,0,0,0,0,0
2012, 16 de Noviembre  , Monterrey ,25.653713,-100.318823, Ejecutan a familia en Independencia ,0,0,0,0,0
2012, 14 de Noviembre  , Monterrey ,25.747651,-100.342877, Lo matan a balazos en tienda ,0,0,0,0,0
2012, 12 de Noviembre  , Monterrey ,25.667745,-100.290617, Torturan y ejecutan a hombre ,0,0,0,0,0
2012, 31 de Octubre    , Monterrey ,25.646788,-100.284233, Muere hombre que enfrenta a Fuerza Civil ,0,0,0,0,0
2012, 28 de Octubre    , Monterrey ,25.681621,-100.299597, Ejecutan a joven tras levantarlo ,0,0,0,0,0
2012, 26 de Octubre    , Monterrey ,25.654138,-100.320303, Matan a uno en la Indepe ,0,0,0,0,0
2012, 26 de Octubre    , Monterrey ,25.68864,-100.310733, Acribillan a 2 hombres en Col. Treviño ,0,0,0,0,0
2012, 26 de Octubre    , Monterrey ,25.734228,-100.397015, Abate la AEI a dos narcos en Cumbres ,0,0,0,0,0
2012, 23 de Octubre    , Monterrey ,25.65203,-100.315186,  Ejecutan a taxista en Independencia  ,0,0,0,0,0
2012, 19 de Octubre    , Monterrey ,25.660105,-100.270865, Matan a ingeniero en su camioneta ,0,0,0,0,0
2012, 18 de Octubre    , Monterrey ,25.686102,-100.306211, Torturan a mujer luego la asesinan,0,0,0,0,0
2012, 18 de Octubre    , Monterrey ,25.653809,-100.318855, Ejecutan a un joven en la Independencia ,0,0,0,0,0
2012, 16 de Octubre    , Monterrey ,25.736151,-100.353649, Matan a hombre de un tiro en la cabeza ,0,0,0,0,0
2012, 14 de Octubre    , Monterrey ,25.682684,-100.30288, Lo ejecutan frente a table en Madero ,0,0,0,0,0
2012, 9 de Octubre    , Monterrey ,25.648829,-100.276626, Encuentra a novio muerto y encintado ,0,0,0,0,0
2012, 9 de Octubre    , Monterrey ,25.658809,-100.330936, Ejecutan de 6 tiros a joven ,0,0,0,0,0
2012, 7 de Octubre    , Monterrey ,25.570398,-100.273333, Hallan a 2 ejecutados en Col. Valle Alto ,0,0,0,0,0
2012, 6 de Octubre    , Monterrey ,25.689955,-100.383453, Lo ejecutan en San Jeronimo ,0,0,0,0,0
2012, 3 de Octubre    , Monterrey ,25.690477,-100.281165, Muere baleado ,0,0,0,0,0
2012, 1 de Octubre    , Monterrey ,25.75397,-100.376459, Persiguen a joven para matarlo ,0,0,0,0,0
2012, 1 de Octubre    , Monterrey ,25.65872,-100.317516, Matan desde auto a mujer ,0,0,0,0,0
